tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2015-12-01 00:00:00-05:00,2015-12-01 00:00:00-05:00,GLP,24.66,24.23,23.8,24.955,90743.0,24.264368,717.0
2015-12-02 00:00:00-05:00,2015-12-02 00:00:00-05:00,GLP,23.96,23.92,23.26,24.08,357297.0,23.794906,1352.0
2015-12-03 00:00:00-05:00,2015-12-03 00:00:00-05:00,GLP,23.92,23.09,23.01,24.32,167287.0,23.464321,1448.0
2015-12-04 00:00:00-05:00,2015-12-04 00:00:00-05:00,GLP,22.94,21.5,21.07,23.27,270038.0,21.970359,1977.0
2015-12-07 00:00:00-05:00,2015-12-07 00:00:00-05:00,GLP,20.9,20.14,18.65,20.9,343908.0,19.597129,2385.0
2015-12-08 00:00:00-05:00,2015-12-08 00:00:00-05:00,GLP,19.55,20.94,19.02,21.11,186113.0,20.623431,1395.0
2015-12-09 00:00:00-05:00,2015-12-09 00:00:00-05:00,GLP,21.07,22.43,21.07,23.29,316164.0,22.385352,2252.0
2015-12-10 00:00:00-05:00,2015-12-10 00:00:00-05:00,GLP,22.37,21.81,21.78,23.11,189965.0,22.508279,1322.0
2015-12-11 00:00:00-05:00,2015-12-11 00:00:00-05:00,GLP,21.39,20.89,20.75,21.82,167938.0,21.202852,1215.0
2015-12-14 00:00:00-05:00,2015-12-14 00:00:00-05:00,GLP,20.68,18.63,18.3301,20.9,269431.0,19.285459,1885.0
2015-12-15 00:00:00-05:00,2015-12-15 00:00:00-05:00,GLP,18.58,17.03,16.54,18.902,582629.0,17.314978,3597.0
2015-12-16 00:00:00-05:00,2015-12-16 00:00:00-05:00,GLP,17.04,17.76,17.04,17.995,304609.0,17.542141,2153.0
2015-12-17 00:00:00-05:00,2015-12-17 00:00:00-05:00,GLP,17.53,15.73,15.65,17.74,380783.0,16.612196,2693.0
2015-12-18 00:00:00-05:00,2015-12-18 00:00:00-05:00,GLP,15.69,15.46,15.0,16.3,405419.0,15.672612,2606.0
2015-12-21 00:00:00-05:00,2015-12-21 00:00:00-05:00,GLP,15.69,15.26,14.797,15.97,687970.0,15.453,2773.0
2015-12-22 00:00:00-05:00,2015-12-22 00:00:00-05:00,GLP,15.27,15.68,15.03,15.88,665357.0,15.612831,4135.0
2015-12-23 00:00:00-05:00,2015-12-23 00:00:00-05:00,GLP,16.06,16.74,16.01,16.95,491766.0,16.607898,3084.0
2015-12-24 00:00:00-05:00,2015-12-24 00:00:00-05:00,GLP,16.94,17.2,16.8,17.6799,311750.0,17.235649,1892.0
2015-12-28 00:00:00-05:00,2015-12-28 00:00:00-05:00,GLP,17.25,16.5,15.88,17.8871,696894.0,16.593576,2889.0
2015-12-29 00:00:00-05:00,2015-12-29 00:00:00-05:00,GLP,16.53,17.17,16.5001,17.39,768926.0,16.998648,3998.0
